x	Y	LABEL
1	399.655	1
5.8293	428.56	1
10.6585	266.0618	1
15.4878	376.9293	1
20.3171	383.6759	1
25.1463	463.8939	1
29.9756	502.8094	1
34.8049	536.406	1
39.6341	412.8075	1
44.4634	553.9108	1
49.2927	566.5294	1
54.122	438.7835	1
58.9512	445.6993	1
63.7805	579.5092	1
68.6098	737.9232	1
73.439	572.1157	1
78.2683	665.5803	1
83.0976	577.1436	1
87.9268	755.3801	1
92.7561	626.5285	1
97.5854	721.7871	1
3.4146	-219.8153	2
8.2439	-238.1807	2
13.0732	-231.8583	2
17.9024	-129.4431	2
22.7317	-27.7249	2
27.561	-9.8588	2
32.3902	-11.5017	2
37.2195	-108.1435	2
42.0488	29.1436	2
46.878	-62.857	2
51.7073	71.295	2
56.5366	-45.8527	2
61.3659	90.0032	2
66.1951	140.6809	2
71.0244	149.7832	2
75.8537	96.7911	2
80.6829	145.3422	2
85.5122	189.6681	2
90.3415	113.8343	2
95.1707	182.9472	2
100	210.0553	2
